word	file	lines
ln	06_datatables.Rmd	145
lOXX	03_customization.Rmd	507
lUV	02_ggplot2.Rmd	420
lwd	05_exploratory_to_explanatory.Rmd	425
LwZJ	07_tables_in_R.Rmd	180
Lx	03_customization.Rmd	502
mCT	07_tables_in_R.Rmd	180
Meek's	01_good_plots.Rmd	252
MF	07_tables_in_R.Rmd	196
MHgD	02_ggplot2.Rmd	387
mJCY	07_tables_in_R.Rmd	191
Mpc	03_customization.Rmd	497
mpgs	08_multiple_plots.Rmd	28
MQ	07_tables_in_R.Rmd	186
mra	03_customization.Rmd	481
multiplot	08_multiple_plots.Rmd	126
mv	02_ggplot2.Rmd	410
MxAU	03_customization.Rmd	487
mXnp	07_tables_in_R.Rmd	191
mYCb	05_exploratory_to_explanatory.Rmd	476
NBbO	03_customization.Rmd	492
nc	02_ggplot2.Rmd	404
Nezt	02_ggplot2.Rmd	393
nGb	02_ggplot2.Rmd	415
nNGT	03_customization.Rmd	507
norP	05_exploratory_to_explanatory.Rmd	476
nr	03_customization.Rmd	492
num	07_tables_in_R.Rmd	134,143
NxIt	05_exploratory_to_explanatory.Rmd	465
NxNP	02_ggplot2.Rmd	398
NYT	00_intro_visualization.Rmd	73
Obsa	03_customization.Rmd	481
ofxv	02_ggplot2.Rmd	393
OGHc	05_exploratory_to_explanatory.Rmd	476
oIXF	02_ggplot2.Rmd	393
oJ	05_exploratory_to_explanatory.Rmd	459
OJG	02_ggplot2.Rmd	398
Ol	02_ggplot2.Rmd	415
only	04_saving_plots.Rmd	32
OxdN	03_customization.Rmd	492
oXr	07_tables_in_R.Rmd	191
OxtC	02_ggplot2.Rmd	387
ozc	07_tables_in_R.Rmd	191
PcZX	02_ggplot2.Rmd	425
Pedersen	08_multiple_plots.Rmd	13
Photoshop	04_saving_plots.Rmd	24
pictex	04_saving_plots.Rmd	32
pixelation	04_saving_plots.Rmd	25
PjKa	05_exploratory_to_explanatory.Rmd	465
plotly	09_advanced_data_visualization.Rmd	26,28,30,69,76,78,80,100,105,107,109,136,165,174,180
png	00_intro_visualization.Rmd	49,67,82,89,96,103,110,133
png	01_good_plots.Rmd	22,29,38,45,52,59,66,72,80,83,90,102,111,127,136,145,156,163,170,175,239
png	02_ggplot2.Rmd	38,53,75,91,104,119,133,140,150,166,191,211,227,248,253
png	03_customization.Rmd	23,32,41,50,61,73,92,104,129,145,153,167,195,216,241,258,270,296,317,345
png	04_saving_plots.Rmd	27,32,62,98
png	05_exploratory_to_explanatory.Rmd	20,25,39,49,66,79,95,110,129,147,168,191,216,246,281,321,362,369,376
png	06_datatables.Rmd	18,31,40,51,61,71,81,90,97,104,111
png	07_tables_in_R.Rmd	41,66,89,102,109
png	08_multiple_plots.Rmd	40,51,60,84,101,112,121,132
png	09_advanced_data_visualization.Rmd	51,56,61,65,71,99,104,109,183
png	10_dataviz_project.Rmd	259,400,410
ppW	03_customization.Rmd	497
pQXL	02_ggplot2.Rmd	404
pRmF	05_exploratory_to_explanatory.Rmd	459
ps	04_saving_plots.Rmd	32
Pwa	07_tables_in_R.Rmd	191
px	04_saving_plots.Rmd	78
pYi	05_exploratory_to_explanatory.Rmd	470
qlfx	02_ggplot2.Rmd	404
qxUL	05_exploratory_to_explanatory.Rmd	459
rBI	03_customization.Rmd	507
README	10_dataviz_project.Rmd	39
rect	03_customization.Rmd	324
rect	05_exploratory_to_explanatory.Rmd	290,324,330,405,415
repo	03_customization.Rmd	357
repo	10_dataviz_project.Rmd	42
RhHN	02_ggplot2.Rmd	420
rK	03_customization.Rmd	481
RMarkdown	06_datatables.Rmd	12
RMarkdown	07_tables_in_R.Rmd	105,107,110
RMarkdown	09_advanced_data_visualization.Rmd	107,109
Rmd	09_advanced_data_visualization.Rmd	109,116,180
Rmd	10_dataviz_project.Rmd	82,88,266,412,420,420
ro	03_customization.Rmd	487
ROLG	07_tables_in_R.Rmd	196
Rost	01_good_plots.Rmd	32,100
